"","Player","POS","FPTS","RV","VOR"
"459","Jimmy Graham (NO)","TE",195.4,134.45,60.95
"243","Calvin Johnson (DET)","WR",229.7,169.616,60.084
"1","Peyton Manning (DEN)","QB",363.4,310.18,53.22
"615","Seahawks","D/ST",203,153.1,49.9
"244","Demaryius Thomas (DEN)","WR",219.4,169.616,49.784
"82","Jamaal Charles (KC)","RB",259.8,211.326666666667,48.4733333333334
"83","LeSean McCoy (PHI)","RB",254.4,211.326666666667,43.0733333333334
"616","Panthers","D/ST",192,153.1,38.9
"2","Aaron Rodgers (GB)","QB",345.6,310.18,35.42
"245","Julio Jones (ATL)","WR",200.9,169.616,31.284
"246","Dez Bryant (DAL)","WR",200.9,169.616,31.284
"84","Matt Forte (CHI)","RB",241.7,211.326666666667,30.3733333333333
"3","Drew Brees (NO)","QB",336,310.18,25.82
"85","Adrian Peterson (MIN)","RB",237.1,211.326666666667,25.7733333333333
"247","A.J. Green (CIN)","WR",194.5,169.616,24.884
"460","Julius Thomas (DEN)","TE",158.2,134.45,23.75
"248","Brandon Marshall (CHI)","WR",189.7,169.616,20.084
"618","Broncos","D/ST",172,153.1,18.9
"249","Jordy Nelson (GB)","WR",186.3,169.616,16.684
"461","Rob Gronkowski (NE)","TE",150.9,134.45,16.45
"250","Alshon Jeffery (CHI)","WR",184.8,169.616,15.184
"251","Antonio Brown (PIT)","WR",184.7,169.616,15.084
"581","Stephen Gostkowski (NE)","K",148.1,133.93,14.17
"617","49ers","D/ST",166,153.1,12.9
"86","Eddie Lacy (GB)","RB",218.1,211.326666666667,6.77333333333334
"582","Phil Dawson (SF)","K",138.3,133.93,4.37
"252","Randall Cobb (GB)","WR",173.4,169.616,3.78400000000002
"583","Justin Tucker (BAL)","K",134.3,133.93,0.370000000000005
"584","Mason Crosby (GB)","K",134,133.93,0.0699999999999932
"585","Steven Hauschka (SEA)","K",133.9,133.93,-0.0300000000000011
"586","Adam Vinatieri (IND)","K",132.8,133.93,-1.13
"253","Vincent Jackson (TB)","WR",166.5,169.616,-3.11599999999999
"462","Vernon Davis (SF)","TE",131.3,134.45,-3.14999999999998
"587","Dan Bailey (DAL)","K",130.4,133.93,-3.53
"588","Shayne Graham (NO)","K",130.4,133.93,-3.53
"87","Montee Ball (DEN)","RB",207.7,211.326666666667,-3.62666666666667
"4","Matthew Stafford (DET)","QB",305.8,310.18,-4.38
"88","DeMarco Murray (DAL)","RB",206.6,211.326666666667,-4.72666666666666
"589","Nick Novak (SD)","K",129,133.93,-4.93000000000001
"590","Matt Bryant (ATL)","K",128.1,133.93,-5.83000000000001
"254","Andre Johnson (HOU)","WR",162.4,169.616,-7.21599999999998
"255","Larry Fitzgerald (ARI)","WR",162.3,169.616,-7.31599999999997
"5","Andrew Luck (IND)","QB",302.4,310.18,-7.78000000000003
"89","Marshawn Lynch (SEA)","RB",202.6,211.326666666667,-8.72666666666666
"256","Michael Crabtree (SF)","WR",159.9,169.616,-9.71599999999998
"463","Jason Witten (DAL)","TE",124.1,134.45,-10.35
"591","Robbie Gould (CHI)","K",123.1,133.93,-10.83
"464","Jordan Cameron (CLE)","TE",123,134.45,-11.45
"90","Doug Martin (TB)","RB",199.8,211.326666666667,-11.5266666666666
"91","Giovani Bernard (CIN)","RB",199.6,211.326666666667,-11.7266666666667
"6","Nick Foles (PHI)","QB",298.4,310.18,-11.78
"465","Dennis Pitta (BAL)","TE",121.4,134.45,-13.05
"621","Rams","D/ST",140,153.1,-13.1
"592","Alex Henery (PHI)","K",120.3,133.93,-13.63
"257","Keenan Allen (SD)","WR",155.5,169.616,-14.116
"619","Cardinals","D/ST",138,153.1,-15.1
"593","Blair Walsh (MIN)","K",118.1,133.93,-15.83
"594","Shaun Suisham (PIT)","K",118.1,133.93,-15.83
"258","Cordarrelle Patterson (MIN)","WR",152.7,169.616,-16.916
"7","Colin Kaepernick (SF)","QB",293,310.18,-17.18
"259","Roddy White (ATL)","WR",152.1,169.616,-17.516
"92","Le'Veon Bell (PIT)","RB",193.4,211.326666666667,-17.9266666666666
"622","Chiefs","D/ST",135,153.1,-18.1
"595","Dan Carpenter (BUF)","K",115.8,133.93,-18.13
"596","Nate Freese (DET)","K",115.5,133.93,-18.43
"260","Michael Floyd (ARI)","WR",151.1,169.616,-18.516
"261","Victor Cruz (NYG)","WR",151,169.616,-18.616
"466","Jordan Reed (WAS)","TE",115.3,134.45,-19.15
"597","Ryan Succop (KC)","K",114.1,133.93,-19.83
"262","Pierre Garcon (WAS)","WR",149.7,169.616,-19.916
"93","Zac Stacy (STL)","RB",191.4,211.326666666667,-19.9266666666666
"8","Matt Ryan (ATL)","QB",289.9,310.18,-20.28
"623","Patriots","D/ST",132,153.1,-21.1
"598","Caleb Sturgis (MIA)","K",112.5,133.93,-21.43
"599","Greg Zuerlein (STL)","K",112.5,133.93,-21.43
"467","Greg Olsen (CAR)","TE",112.8,134.45,-21.65
"600","Sebastian Janikowski (OAK)","K",111.9,133.93,-22.03
"468","Kyle Rudolph (MIN)","TE",112.1,134.45,-22.35
"94","Alfred Morris (WAS)","RB",188.9,211.326666666667,-22.4266666666666
"601","Graham Gano (CAR)","K",111.4,133.93,-22.53
"602","Nick Folk (NYJ)","K",111.1,133.93,-22.83
"263","Emmanuel Sanders (DEN)","WR",146.6,169.616,-23.016
"95","Arian Foster (HOU)","RB",188.1,211.326666666667,-23.2266666666667
"9","Tom Brady (NE)","QB",285.8,310.18,-24.38
"603","Chandler Catanzaro (ARI)","K",109.5,133.93,-24.43
"604","Mike Nugent (CIN)","K",109.5,133.93,-24.43
"605","Josh Brown (NYG)","K",109.4,133.93,-24.53
"264","Percy Harvin (SEA)","WR",143.7,169.616,-25.916
"265","Torrey Smith (BAL)","WR",143.7,169.616,-25.916
"625","Buccaneers","D/ST",127,153.1,-26.1
"624","Bills","D/ST",126,153.1,-27.1
"606","Connor Barth (TB)","K",105.5,133.93,-28.43
"266","DeSean Jackson (WAS)","WR",141,169.616,-28.616
"10","Robert Griffin III (WAS)","QB",281.5,310.18,-28.68
"469","Zach Ertz (PHI)","TE",105.7,134.45,-28.75
"11","Tony Romo (DAL)","QB",281.2,310.18,-28.98
"620","Bengals","D/ST",124,153.1,-29.1
"12","Cam Newton (CAR)","QB",280.8,310.18,-29.38
"607","Randy Bullock (HOU)","K",104.1,133.93,-29.83
"96","Andre Ellington (ARI)","RB",180.7,211.326666666667,-30.6266666666667
"267","Marques Colston (NO)","WR",137.9,169.616,-31.716
"13","Russell Wilson (SEA)","QB",278.3,310.18,-31.88
"97","Toby Gerhart (JAC)","RB",179.3,211.326666666667,-32.0266666666666
"608","Josh Scobee (JAC)","K",101.9,133.93,-32.03
"609","Matt Prater (DEN)","K",101.6,133.93,-32.33
"470","Martellus Bennett (CHI)","TE",101.3,134.45,-33.15
"268","Julian Edelman (NE)","WR",135.9,169.616,-33.716
"610","Billy Cundiff (CLE)","K",100.1,133.93,-33.83
"269","Ty Hilton (IND)","WR",135.4,169.616,-34.216
"270","Golden Tate (DET)","WR",135.2,169.616,-34.416
"611","Kai Forbath (WAS)","K",99.1,133.93,-34.83
"271","Mike Wallace (MIA)","WR",134.5,169.616,-35.116
"272","Jeremy Maclin (PHI)","WR",133.1,169.616,-36.516
"273","Kendall Wright (TEN)","WR",132.6,169.616,-37.016
"14","Jay Cutler (CHI)","QB",272.4,310.18,-37.78
"612","Maikon Bonani (TEN)","K",95.9,133.93,-38.03
"471","Heath Miller (PIT)","TE",96.2,134.45,-38.25
"472","Ladarius Green (SD)","TE",96.1,134.45,-38.35
"473","Antonio Gates (SD)","TE",95.9,134.45,-38.55
"274","Terrance Williams (DAL)","WR",129.8,169.616,-39.816
"474","Charles Clay (MIA)","TE",93.7,134.45,-40.75
"98","Ryan Mathews (SD)","RB",168.8,211.326666666667,-42.5266666666666
"629","Browns","D/ST",110,153.1,-43.1
"475","Delanie Walker (TEN)","TE",90.8,134.45,-43.65
"275","Eric Decker (NYJ)","WR",125.9,169.616,-43.716
"15","Philip Rivers (SD)","QB",266.3,310.18,-43.88
"99","Reggie Bush (DET)","RB",167.4,211.326666666667,-43.9266666666666
"626","Saints","D/ST",109,153.1,-44.1
"100","Joique Bell (DET)","RB",166.4,211.326666666667,-44.9266666666666
"16","Ben Roethlisberger (PIT)","QB",265.2,310.18,-44.98
"276","Reggie Wayne (IND)","WR",124,169.616,-45.616
"101","Frank Gore (SF)","RB",165.2,211.326666666667,-46.1266666666667
"627","Texans","D/ST",106,153.1,-47.1
"628","Ravens","D/ST",105,153.1,-48.1
"277","Sammy Watkins (BUF)","WR",121.5,169.616,-48.116
"476","Dwayne Allen (IND)","TE",85.4,134.45,-49.05
"102","Ray Rice (BAL)","RB",162.2,211.326666666667,-49.1266666666667
"103","Rashad Jennings (NYG)","RB",161.3,211.326666666667,-50.0266666666666
"104","Shane Vereen (NE)","RB",160.9,211.326666666667,-50.4266666666666
"105","C.J. Spiller (BUF)","RB",160.4,211.326666666667,-50.9266666666666
"278","Kelvin Benjamin (CAR)","WR",118.4,169.616,-51.216
"279","Wes Welker (DEN)","WR",117.6,169.616,-52.016
"634","Colts","D/ST",101,153.1,-52.1
"106","Chris Johnson (NYJ)","RB",158.8,211.326666666667,-52.5266666666666
"477","Eric Ebron (DET)","TE",81.8,134.45,-52.65
"631","Giants","D/ST",100,153.1,-53.1
"280","Rueben Randle (NYG)","WR",115.5,169.616,-54.116
"478","Travis Kelce (KC)","TE",79.9,134.45,-54.55
"107","Ben Tate (CLE)","RB",155.5,211.326666666667,-55.8266666666667
"630","Steelers","D/ST",97,153.1,-56.1
"633","Lions","D/ST",97,153.1,-56.1
"281","Brandin Cooks (NO)","WR",113,169.616,-56.616
"282","Mike Evans (TB)","WR",111.4,169.616,-58.216
"108","Bishop Sankey (TEN)","RB",153.1,211.326666666667,-58.2266666666667
"17","Andy Dalton (CIN)","QB",251.3,310.18,-58.88
"283","Dwayne Bowe (KC)","WR",110.5,169.616,-59.116
"479","Jared Cook (STL)","TE",75.1,134.45,-59.35
"109","Trent Richardson (IND)","RB",151.5,211.326666666667,-59.8266666666667
"480","Garrett Graham (HOU)","TE",74.6,134.45,-59.85
"284","Justin Hunter (TEN)","WR",109,169.616,-60.616
"638","Packers","D/ST",92,153.1,-61.1
"285","Riley Cooper (PHI)","WR",107.8,169.616,-61.816
"286","Anquan Boldin (SF)","WR",107.7,169.616,-61.916
"481","Tyler Eifert (CIN)","TE",71.9,134.45,-62.55
"110","Stevan Ridley (NE)","RB",148.7,211.326666666667,-62.6266666666667
"482","Marcedes Lewis (JAC)","TE",71,134.45,-63.45
"287","DeAndre Hopkins (HOU)","WR",105.4,169.616,-64.216
"483","Coby Fleener (IND)","TE",69.6,134.45,-64.85
"639","Titans","D/ST",88,153.1,-65.1
"642","Dolphins","D/ST",88,153.1,-65.1
"288","Jarrett Boykin (GB)","WR",104.5,169.616,-65.116
"484","Scott Chandler (BUF)","TE",69.1,134.45,-65.35
"18","Ryan Tannehill (MIA)","QB",244.7,310.18,-65.48
"289","Cecil Shorts (JAC)","WR",103.6,169.616,-66.016
"19","Carson Palmer (ARI)","QB",244.1,310.18,-66.08
"485","Mychal Rivera (OAK)","TE",67.8,134.45,-66.65
"290","Brian Hartline (MIA)","WR",102.5,169.616,-67.116
"632","Eagles","D/ST",85,153.1,-68.1
"641","Falcons","D/ST",85,153.1,-68.1
"20","Alex Smith (KC)","QB",241.4,310.18,-68.78
"291","Hakeem Nicks (IND)","WR",100.4,169.616,-69.216
"292","Doug Baldwin (SEA)","WR",99.8,169.616,-69.816
"636","Raiders","D/ST",83,153.1,-70.1
"640","Jets","D/ST",83,153.1,-70.1
"635","Bears","D/ST",82,153.1,-71.1
"293","Kenny Stills (NO)","WR",98.3,169.616,-71.316
"486","Jace Amaro (NYJ)","TE",60.9,134.45,-73.55
"645","Chargers","D/ST",79,153.1,-74.1
"294","Harry Douglas (ATL)","WR",95.5,169.616,-74.116
"487","Brent Celek (PHI)","TE",60.1,134.45,-74.35
"295","James Jones (OAK)","WR",94.9,169.616,-74.716
"296","Greg Jennings (MIN)","WR",94.9,169.616,-74.716
"488","Austin Seferian-Jenkins (TB)","TE",59.7,134.45,-74.75
"297","Steve Smith (BAL)","WR",94.7,169.616,-74.916
"637","Jaguars","D/ST",78,153.1,-75.1
"298","Rod Streater (OAK)","WR",94.1,169.616,-75.516
"111","Maurice Jones-Drew (OAK)","RB",135.8,211.326666666667,-75.5266666666666
"299","Markus Wheaton (PIT)","WR",93.6,169.616,-76.016
"489","Zach Miller (SEA)","TE",58.4,134.45,-76.05
"490","Richard Rodgers (GB)","TE",57.8,134.45,-76.65
"300","Jordan Matthews (PHI)","WR",92.2,169.616,-77.416
"301","Tavon Austin (STL)","WR",92.1,169.616,-77.516
"112","Fred Jackson (BUF)","RB",133.5,211.326666666667,-77.8266666666667
"491","Jermaine Gresham (CIN)","TE",55.8,134.45,-78.65
"113","Pierre Thomas (NO)","RB",130.8,211.326666666667,-80.5266666666666
"302","Marqise Lee (JAC)","WR",88.6,169.616,-81.016
"114","Steven Jackson (ATL)","RB",130.3,211.326666666667,-81.0266666666666
"303","Andrew Hawkins (CLE)","WR",87.4,169.616,-82.216
"492","Tim Wright (TB)","TE",52,134.45,-82.45
"21","Joe Flacco (BAL)","QB",226.9,310.18,-83.28
"304","Danny Amendola (NE)","WR",86,169.616,-83.616
"115","Knowshon Moreno (MIA)","RB",127.6,211.326666666667,-83.7266666666667
"493","Levine Toilolo (ATL)","TE",50.7,134.45,-83.75
"305","Kenny Britt (STL)","WR",85.7,169.616,-83.916
"306","Marvin Jones (CIN)","WR",85.4,169.616,-84.216
"494","Owen Daniels (BAL)","TE",49.9,134.45,-84.55
"22","Eli Manning (NYG)","QB",225.4,310.18,-84.78
"644","Redskins","D/ST",67,153.1,-86.1
"307","Malcom Floyd (SD)","WR",83.4,169.616,-86.216
"308","Dexter McCluster (TEN)","WR",83.3,169.616,-86.316
"309","Jerricho Cotchery (CAR)","WR",82.7,169.616,-86.916
"310","Robert Woods (BUF)","WR",82.5,169.616,-87.116
"311","Odell Beckham Jr. (NYG)","WR",82.2,169.616,-87.416
"643","Vikings","D/ST",65,153.1,-88.1
"495","Jermichael Finley","TE",45.6,134.45,-88.85
"116","Danny Woodhead (SD)","RB",122.3,211.326666666667,-89.0266666666667
"117","DeAngelo Williams (CAR)","RB",121.2,211.326666666667,-90.1266666666667
"496","Brandon Pettigrew (DET)","TE",44.3,134.45,-90.15
"118","Terrance West (CLE)","RB",120.3,211.326666666667,-91.0266666666667
"497","Adrien Robinson (NYG)","TE",43.4,134.45,-91.05
"119","Lamar Miller (MIA)","RB",120.1,211.326666666667,-91.2266666666667
"312","Mohamed Sanu (CIN)","WR",78.3,169.616,-91.316
"498","John Carlson (ARI)","TE",43.1,134.45,-91.35
"499","C.J. Fiedorowicz (HOU)","TE",43,134.45,-91.45
"313","Kenbrell Thompkins (NE)","WR",77.3,169.616,-92.316
"500","Andrew Quarless (GB)","TE",41.2,134.45,-93.25
"314","Donnie Avery (KC)","WR",76.2,169.616,-93.416
"501","Jeff Cumberland (NYJ)","TE",40.9,134.45,-93.55
"315","Nate Washington (TEN)","WR",76,169.616,-93.616
"502","Anthony Fasano (KC)","TE",40.6,134.45,-93.85
"316","Miles Austin (CLE)","WR",75.7,169.616,-93.916
"317","Mike Williams (BUF)","WR",75.2,169.616,-94.416
"318","Jeremy Kerley (NYJ)","WR",73.5,169.616,-96.116
"319","Lance Moore (PIT)","WR",72.5,169.616,-97.116
"503","Lance Kendricks (STL)","TE",35.7,134.45,-98.75
"504","Brandon Myers (TB)","TE",35.6,134.45,-98.85
"505","Brandon Bostick (GB)","TE",35.2,134.45,-99.25
"506","Luke Willson (SEA)","TE",35.1,134.45,-99.35
"320","John Brown (ARI)","WR",69.9,169.616,-99.716
"23","Josh McCown (TB)","QB",209.8,310.18,-100.38
"120","Bernard Pierce (BAL)","RB",110.8,211.326666666667,-100.526666666667
"321","Andre Roberts (WAS)","WR",68.6,169.616,-101.016
"507","Gavin Escobar (DAL)","TE",33,134.45,-101.45
"322","Steve Johnson (SF)","WR",67.2,169.616,-102.416
"508","Ryan Griffin (HOU)","TE",31.7,134.45,-102.75
"509","Benjamin Watson (NO)","TE",31.3,134.45,-103.15
"323","Denarius Moore (OAK)","WR",66.4,169.616,-103.216
"121","Jeremy Hill (CIN)","RB",107.8,211.326666666667,-103.526666666667
