"","Player","POS","FPTS","RV","VOR"
"298","Antonio Brown PIT","WR",229.1,165.7,63.4
"545","Rob Gronkowski NE","TE",170,119.74,50.26
"299","Julio Jones ATL","WR",214.1,165.7,48.4
"300","Odell Beckham Jr. NYG","WR",210.6,165.7,44.9
"1","Cam Newton CAR","QB",330.6,292.41,38.1900000000001
"301","DeAndre Hopkins HOU","WR",197.8,165.7,32.1
"2","Aaron Rodgers GB","QB",323.2,292.41,30.79
"107","Todd Gurley LA","RB",213.2,187.766666666667,25.4333333333333
"3","Russell Wilson SEA","QB",317,292.41,24.59
"108","Adrian Peterson MIN","RB",210.6,187.766666666667,22.8333333333333
"722","Broncos","D/ST",141.6,120.13,21.47
"109","Jamaal Charles KC","RB",208.3,187.766666666667,20.5333333333333
"110","David Johnson ARI","RB",207.9,187.766666666667,20.1333333333333
"546","Greg Olsen CAR","TE",134.9,119.74,15.16
"302","Dez Bryant DAL","WR",179.6,165.7,13.9
"303","A.J. Green CIN","WR",178.5,165.7,12.8
"111","Lamar Miller HOU","RB",200.2,187.766666666667,12.4333333333333
"112","Le'Veon Bell PIT","RB",199.3,187.766666666667,11.5333333333333
"547","Jordan Reed WAS","TE",130.7,119.74,10.96
"4","Andrew Luck IND","QB",301.9,292.41,9.49000000000001
"681","Stephen Gostkowski NE","K",134.9,125.7,9.2
"304","Jordy Nelson GB","WR",174.5,165.7,8.80000000000001
"723","Panthers","D/ST",122.9,120.13,2.77000000000001
"305","Alshon Jeffery CHI","WR",168.3,165.7,2.60000000000002
"682","Justin Tucker BAL","K",128.3,125.7,2.60000000000001
"306","Allen Robinson JAC","WR",167.7,165.7,2
"683","Steven Hauschka SEA","K",127.3,125.7,1.59999999999999
"728","Packers","D/ST",121.3,120.13,1.17
"724","Bengals","D/ST",121.2,120.13,1.07000000000001
"5","Drew Brees NO","QB",293.4,292.41,0.990000000000009
"684","Graham Gano CAR","K",126.5,125.7,0.799999999999997
"685","Mason Crosby GB","K",126.4,125.7,0.700000000000003
"727","Cardinals","D/ST",120.5,120.13,0.370000000000005
"113","Ezekiel Elliott DAL","RB",187.8,187.766666666667,0.0333333333333314
"307","T.Y. Hilton IND","WR",165.4,165.7,-0.299999999999983
"686","Chandler Catanzaro ARI","K",125,125.7,-0.700000000000003
"687","Dan Bailey DAL","K",124.7,125.7,-1
"688","Chris Boswell PIT","K",123.9,125.7,-1.8
"548","Delanie Walker TEN","TE",117.9,119.74,-1.83999999999999
"308","Brandon Marshall NYJ","WR",163.8,165.7,-1.89999999999998
"114","Devonta Freeman ATL","RB",184.5,187.766666666667,-3.26666666666668
"732","Jets","D/ST",116.8,120.13,-3.33
"721","Seahawks","D/ST",116.1,120.13,-4.03
"309","Mike Evans TB","WR",161.6,165.7,-4.09999999999999
"689","Blair Walsh MIN","K",121,125.7,-4.7
"725","Texans","D/ST",114.3,120.13,-5.83
"310","Sammy Watkins BUF","WR",159.8,165.7,-5.89999999999998
"733","Bills","D/ST",113.9,120.13,-6.22999999999999
"690","Brandon McManus DEN","K",119,125.7,-6.7
"115","Mark Ingram NO","RB",181,187.766666666667,-6.76666666666668
"549","Travis Kelce KC","TE",112.9,119.74,-6.83999999999999
"116","LeSean McCoy BUF","RB",180.7,187.766666666667,-7.06666666666669
"691","Adam Vinatieri IND","K",118.6,125.7,-7.10000000000001
"550","Gary Barnidge CLE","TE",112.5,119.74,-7.23999999999999
"726","Chiefs","D/ST",112.7,120.13,-7.42999999999999
"311","Keenan Allen SD","WR",157.8,165.7,-7.89999999999998
"729","Raiders","D/ST",111.6,120.13,-8.53
"117","Eddie Lacy GB","RB",179,187.766666666667,-8.76666666666668
"312","Brandin Cooks NO","WR",156.9,165.7,-8.79999999999998
"692","Cairo Santos KC","K",116.8,125.7,-8.90000000000001
"551","Coby Fleener NO","TE",110.6,119.74,-9.14
"734","Rams","D/ST",110.8,120.13,-9.33
"693","Mike Nugent CIN","K",116.2,125.7,-9.5
"694","Josh Brown NYG","K",116.1,125.7,-9.60000000000001
"313","Demaryius Thomas DEN","WR",155.6,165.7,-10.1
"695","Robbie Gould CHI","K",114.6,125.7,-11.1
"552","Antonio Gates SD","TE",108.5,119.74,-11.24
"314","Amari Cooper OAK","WR",154.3,165.7,-11.4
"6","Ben Roethlisberger PIT","QB",279.3,292.41,-13.11
"696","Matt Prater DET","K",112.1,125.7,-13.6
"697","Dan Carpenter BUF","K",111.8,125.7,-13.9
"118","Doug Martin TB","RB",173.6,187.766666666667,-14.1666666666667
"315","Randall Cobb GB","WR",151.5,165.7,-14.2
"698","Nick Folk NYJ","K",111.2,125.7,-14.5
"699","Matt Bryant ATL","K",110.2,125.7,-15.5
"700","Dustin Hopkins WAS","K",109.9,125.7,-15.8
"701","Nick Novak HOU","K",109.9,125.7,-15.8
"702","Sebastian Janikowski OAK","K",109.5,125.7,-16.2
"7","Carson Palmer ARI","QB",275.7,292.41,-16.71
"703","Cody Parkey PHI","K",108.8,125.7,-16.9
"740","Buccaneers","D/ST",102.9,120.13,-17.23
"316","Jeremy Maclin KC","WR",148,165.7,-17.7
"737","Ravens","D/ST",102.1,120.13,-18.03
"553","Tyler Eifert CIN","TE",100.7,119.74,-19.04
"704","Roberto Aguayo TB","K",106.5,125.7,-19.2
"705","Josh Lambo SD","K",106.3,125.7,-19.4
"119","C.J. Anderson DEN","RB",168.2,187.766666666667,-19.5666666666667
"706","Jason Myers JAC","K",106.1,125.7,-19.6
"317","Eric Decker NYJ","WR",146,165.7,-19.7
"707","Phil Dawson SF","K",105.8,125.7,-19.9
"554","Zach Ertz PHI","TE",98.7,119.74,-21.04
"555","Jason Witten DAL","TE",98.2,119.74,-21.54
"8","Blake Bortles JAC","QB",270,292.41,-22.41
"318","Doug Baldwin SEA","WR",142.8,165.7,-22.9
"708","Kai Forbath NO","K",102.7,125.7,-23
"556","Jimmy Graham SEA","TE",96.2,119.74,-23.54
"709","Caleb Sturgis PHI","K",102,125.7,-23.7
"731","Vikings","D/ST",96.3,120.13,-23.83
"710","Greg Zuerlein LA","K",101.2,125.7,-24.5
"9","Tyrod Taylor BUF","QB",267.9,292.41,-24.51
"319","Kelvin Benjamin CAR","WR",140.1,165.7,-25.6
"320","Golden Tate DET","WR",139.8,165.7,-25.9
"120","Thomas Rawls SEA","RB",161.8,187.766666666667,-25.9666666666667
"321","Michael Floyd ARI","WR",139.5,165.7,-26.2
"322","Jarvis Landry MIA","WR",139.4,165.7,-26.3
"711","Andrew Franks MIA","K",99.3,125.7,-26.4
"557","Martellus Bennett NE","TE",93,119.74,-26.74
"742","Lions","D/ST",93.1,120.13,-27.03
"10","Eli Manning NYG","QB",265.1,292.41,-27.3099999999999
"736","Jaguars","D/ST",92.8,120.13,-27.33
"121","Latavius Murray OAK","RB",160.4,187.766666666667,-27.3666666666667
"11","Philip Rivers SD","QB",264.7,292.41,-27.71
"741","Bears","D/ST",92.4,120.13,-27.73
"323","Julian Edelman NE","WR",137.2,165.7,-28.5
"324","Larry Fitzgerald ARI","WR",137.1,165.7,-28.6
"730","Patriots","D/ST",91.3,120.13,-28.83
"558","Julius Thomas JAC","TE",90.9,119.74,-28.84
"559","Dwayne Allen IND","TE",90.2,119.74,-29.54
"735","Colts","D/ST",90.3,120.13,-29.83
"122","Matt Forte NYJ","RB",157,187.766666666667,-30.7666666666667
"739","Eagles","D/ST",89.2,120.13,-30.93
"325","DeSean Jackson WAS","WR",134.7,165.7,-31
"560","Zach Miller CHI","TE",88.7,119.74,-31.04
"738","Steelers","D/ST",88.6,120.13,-31.53
"746","Falcons","D/ST",88,120.13,-32.13
"744","Giants","D/ST",87.9,120.13,-32.23
"123","Carlos Hyde SF","RB",155.5,187.766666666667,-32.2666666666667
"712","Ryan Succop TEN","K",92.5,125.7,-33.2
"752","Saints","D/ST",86.9,120.13,-33.23
"326","Jordan Matthews PHI","WR",132.4,165.7,-33.3
"12","Matthew Stafford DET","QB",258.6,292.41,-33.8099999999999
"13","Kirk Cousins WAS","QB",258.4,292.41,-34.01
"743","Redskins","D/ST",86,120.13,-34.13
"14","Andy Dalton CIN","QB",258.2,292.41,-34.21
"713","Travis Coons CLE","K",91.4,125.7,-34.3
"327","Donte Moncrief IND","WR",131.2,165.7,-34.5
"124","DeMarco Murray TEN","RB",152.8,187.766666666667,-34.9666666666667
"328","Emmanuel Sanders DEN","WR",130.5,165.7,-35.2
"747","Chargers","D/ST",84.8,120.13,-35.33
"561","Charles Clay BUF","TE",84.2,119.74,-35.54
"15","Jameis Winston TB","QB",256.1,292.41,-36.3099999999999
"125","Jonathan Stewart CAR","RB",151.4,187.766666666667,-36.3666666666667
"745","Titans","D/ST",83.6,120.13,-36.53
"562","Eric Ebron DET","TE",82.4,119.74,-37.34
"748","Dolphins","D/ST",81.2,120.13,-38.93
"329","John Brown ARI","WR",126.7,165.7,-39
"16","Ryan Fitzpatrick NYJ","QB",253,292.41,-39.41
"17","Tony Romo DAL","QB",252.9,292.41,-39.51
"126","Jeremy Hill CIN","RB",147.7,187.766666666667,-40.0666666666667
"18","Derek Carr OAK","QB",252.1,292.41,-40.31
"127","Jeremy Langford CHI","RB",146.5,187.766666666667,-41.2666666666667
"19","Ryan Tannehill MIA","QB",250.8,292.41,-41.61
"20","Matt Ryan ATL","QB",249.4,292.41,-43.01
